disease,fatality_rate,avg_los,beds_per_patient,days_to_die
Other exposure to mechanical forces,0.0007088954912183,5.0,1.5,5.0070889549121835
Retinoblastoma,0.5554006301621969,5.0,1.5,10.554006301621968
Acute hepatitis B,0.0006647752182208,5.0,1.5,5.006647752182208
Acute hepatitis A,0.0002282224975325,5.0,1.5,5.002282224975325
Uterine fibroids,0.0003862133456066,5.0,1.5,5.0038621334560665
Genital prolapse,0.0001134041650792,5.0,1.5,5.001134041650792
Endometriosis,4.826389173523909e-05,5.0,1.5,5.000482638917353
Acute hepatitis C,0.0009823976353355,5.0,1.5,5.0098239763533545
Self-harm by other specified means,0.1189449314114022,5.0,1.5,6.189449314114022
Other digestive diseases,0.0047274377421648,5.0,1.5,5.0472743774216475
Other direct maternal disorders,0.0026026241293041,5.0,1.5,5.026026241293041
Maternal hypertensive disorders,0.0031637692353724,5.0,1.5,5.0316376923537245
Maternal hemorrhage,0.0052373010225776,5.0,1.5,5.052373010225776
Other neglected tropical diseases,inf,5.0,1.5,inf
Rabies,0.9551495224992188,5.0,1.5,14.551495224992188
Cystic echinococcosis,0.0123178816728844,5.0,1.5,5.123178816728844
Chronic kidney disease due to other and unspecified causes,0.0334161936566008,5.0,1.5,5.334161936566008
Chronic kidney disease due to glomerulonephritis,0.2382008296603381,5.0,1.5,7.382008296603381
Anorexia nervosa,0.0001867716205139,5.0,1.5,5.0018677162051395
Chronic kidney disease due to hypertension,0.1957620327774608,5.0,1.5,6.957620327774608
Acute glomerulonephritis,0.0211925182358262,5.0,1.5,5.211925182358263
Exposure to forces of nature,0.0117724854622241,5.0,1.5,5.1177248546222405
Physical violence by other means,0.0059684150405457,5.0,1.5,5.059684150405457
Total burden related to hepatitis C,0.0410137798297747,5.0,1.5,5.410137798297747
Crohn's disease,0.0531271475529731,5.0,1.5,5.531271475529731
Total burden related to hepatitis B,0.0083166062381432,5.0,1.5,5.083166062381432
Ulcerative colitis,0.1576325809943806,5.0,1.5,6.576325809943806
Visceral leishmaniasis,0.2326890249537532,5.0,1.5,7.3268902495375325
Other benign and in situ neoplasms,0.0007031790680902,5.0,1.5,5.0070317906809025
Cirrhosis due to other causes,0.4629845825918219,5.0,1.5,9.62984582591822
Cirrhosis due to alcohol,0.736240681716408,5.0,1.5,12.36240681716408
Chronic hepatitis C including cirrhosis,0.0725108098677912,5.0,1.5,5.725108098677913
Chronic hepatitis B including cirrhosis,0.06173245273453,5.0,1.5,5.6173245273453
Silicosis,0.1038998995341636,5.0,1.5,6.038998995341636
Paralytic ileus and intestinal obstruction,0.0169924364411472,5.0,1.5,5.1699243644114725
Gastritis and duodenitis,0.0015186148042666,5.0,1.5,5.015186148042666
Coal workers pneumoconiosis,0.1311653126246936,5.0,1.5,6.311653126246936
Other pneumoconiosis,0.0998332601991961,5.0,1.5,5.998332601991962
Asthma,0.0066677829242526,5.0,1.5,5.0666778292425265
Maternal obstructed labor and uterine rupture,0.0012846643419481,5.0,1.5,5.012846643419481
Ectopic pregnancy,0.0054079284384755,5.0,1.5,5.054079284384755
Neonatal preterm birth,0.0295796129335816,5.0,1.5,5.295796129335816
Asbestosis,0.15134473384787,5.0,1.5,6.5134473384786995
Peptic ulcer disease,0.0763317352518387,5.0,1.5,5.763317352518387
Hemolytic disease and other neonatal jaundice,0.0782561366488227,5.0,1.5,5.782561366488227
Neonatal encephalopathy due to birth asphyxia and trauma,0.5389685854527473,5.0,1.5,10.389685854527473
Protein-energy malnutrition,0.0022369237053707,5.0,1.5,5.022369237053707
Paratyphoid fever,0.0062761152457549,5.0,1.5,5.062761152457549
"Inguinal, femoral, and abdominal hernia",0.0068005630401801,5.0,1.5,5.0680056304018
Vascular intestinal disorders,0.0662778256351382,5.0,1.5,5.662778256351382
Pancreatitis,0.0435777242249557,5.0,1.5,5.435777242249556
Congenital musculoskeletal and limb anomalies,0.0040604036878116,5.0,1.5,5.040604036878116
Urogenital congenital anomalies,0.0155613388089671,5.0,1.5,5.155613388089671
Digestive congenital anomalies,0.1504715915265088,5.0,1.5,6.504715915265088
Total burden related to Non-alcoholic fatty liver disease (NAFLD),0.0027021048862805,5.0,1.5,5.027021048862805
Self-harm by firearm,0.4435673390394383,5.0,1.5,9.435673390394383
Physical violence by firearm,0.1445369691474371,5.0,1.5,6.4453696914743706
Physical violence by sharp object,0.0134515117816105,5.0,1.5,5.134515117816106
African trypanosomiasis,0.5957103991973497,5.0,1.5,10.957103991973497
Diabetes mellitus type 2,0.0794465646264331,5.0,1.5,5.794465646264331
Diabetes mellitus type 1,0.1848927907071314,5.0,1.5,6.848927907071314
Non-rheumatic degenerative mitral valve disease,0.0337788913718165,5.0,1.5,5.337788913718164
Nonalcoholic fatty liver disease including cirrhosis,0.0018464274436304,5.0,1.5,5.018464274436304
Non-rheumatic calcific aortic valve disease,0.1379617699722982,5.0,1.5,6.379617699722981
Typhoid fever,0.0116637553665844,5.0,1.5,5.116637553665844
"Myelodysplastic, myeloproliferative, and other hematopoietic neoplasms",0.2750369251114927,5.0,1.5,7.750369251114927
Zika virus,2.178820766270902e-06,5.0,1.5,5.000021788207663
Pyoderma,0.0001359000428285,5.0,1.5,5.001359000428285
Invasive Non-typhoidal Salmonella (iNTS),0.1267446559721788,5.0,1.5,6.267446559721788
Chronic lymphoid leukemia,0.3487302581991209,5.0,1.5,8.487302581991209
Acute lymphoid leukemia,0.5884899723923421,5.0,1.5,10.884899723923422
Chronic myeloid leukemia,0.4556054150676537,5.0,1.5,9.556054150676536
Acute myeloid leukemia,0.7082726626278177,5.0,1.5,12.082726626278177
Orofacial clefts,0.0180869562020951,5.0,1.5,5.180869562020951
Drug-susceptible tuberculosis,0.1155235509474831,5.0,1.5,6.1552355094748314
Other chromosomal abnormalities,0.0509043718204308,5.0,1.5,5.509043718204309
Myocarditis,0.0163226144424094,5.0,1.5,5.163226144424094
Other leukemia,0.7899839194495246,5.0,1.5,12.899839194495247
Conflict and terrorism,0.0038189845832741,5.0,1.5,5.038189845832742
Other unspecified infectious diseases,15.293593353646472,5.0,1.5,157.93593353646472
Rheumatoid arthritis,0.0448048921055589,5.0,1.5,5.448048921055589
"Other endocrine, metabolic, blood, and immune disorders",0.0415459273412846,5.0,1.5,5.415459273412846
G6PD deficiency,0.0015261946113387,5.0,1.5,5.015261946113387
Environmental heat and cold exposure,0.0251552206021386,5.0,1.5,5.251552206021386
Motor vehicle road injuries,0.0262424396159352,5.0,1.5,5.262424396159352
Poisoning by carbon monoxide,0.0481210392556823,5.0,1.5,5.481210392556823
Poisoning by other means,0.0205010529591963,5.0,1.5,5.205010529591964
Amphetamine use disorders,0.0111384067378793,5.0,1.5,5.1113840673787925
Neural tube defects,0.3431394728007042,5.0,1.5,8.431394728007042
Falls,0.0018704240974962,5.0,1.5,5.018704240974961
Drowning,0.3337810400573016,5.0,1.5,8.337810400573016
"Fire, heat, and hot substances",0.0150379268637055,5.0,1.5,5.150379268637055
Other road injuries,0.00550257335597,5.0,1.5,5.055025733559701
Cyclist road injuries,0.0088342676901018,5.0,1.5,5.088342676901018
Pedestrian road injuries,0.0347005591042898,5.0,1.5,5.347005591042898
Cocaine use disorders,0.0679306011867788,5.0,1.5,5.679306011867789
Motorcyclist road injuries,0.0476319120521999,5.0,1.5,5.476319120521999
Motor neuron disease,0.6541301495988473,5.0,1.5,11.541301495988474
Opioid use disorders,0.0623413146799068,5.0,1.5,5.623413146799068
Alcohol use disorders,0.002942829738381,5.0,1.5,5.02942829738381
Other neurological disorders,3.8128456216762334,5.0,1.5,43.12845621676233
Alzheimer's disease and other dementias,0.2109652871506593,5.0,1.5,7.109652871506594
Parkinson's disease,0.3084632433293055,5.0,1.5,8.084632433293056
Idiopathic epilepsy,0.0539400205876482,5.0,1.5,5.539400205876483
Other sexually transmitted infections,inf,6.0,1.2000000000000002,inf
Upper respiratory infections,2.049853618430792e-06,6.0,1.2000000000000002,6.000024598243421
Chlamydial infection,1.071284455579041e-05,6.0,1.2000000000000002,6.000128554134669
Maternal sepsis and other maternal infections,0.0026915250179564,6.0,1.2000000000000002,6.032298300215477
Neonatal sepsis and other neonatal infections,0.062328022814317,6.0,1.2000000000000002,6.7479362737718045
Lower respiratory infections,0.0103305693189389,6.0,1.2000000000000002,6.123966831827268
Urinary tract infections and interstitial nephritis,0.0006310069051092,6.0,1.2000000000000002,6.00757208286131
Gonococcal infection,1.3457796558560708e-05,6.0,1.2000000000000002,6.0001614935587035
Multidrug-resistant tuberculosis without extensive drug resistance,0.2159693929269154,4.0,1.2,5.727755143415323
Police conflict and executions,0.005379430622277,5.0,1.0,5.05379430622277
Electrocution,0.1038889268892415,5.0,1.0,6.038889268892415
Diarrheal diseases,0.0002732843293414,5.0,1.0,5.002732843293414
Down syndrome,0.4849713795980281,3.0,0.8999999999999999,5.9098282775881685
Adverse effects of medical treatment,0.0078443544176539,1.0,0.3,1.0156887088353077
Total Cancers excluding Non-melanoma skin cancer,0.5521777865876772,30.0,0.3,63.13066719526063
Non-melanoma skin cancer (squamous-cell carcinoma),0.030508336141798,10.0,0.1,10.610166722835961
Other skin and subcutaneous diseases,7.242477063379381e-06,5.0,0.05,5.000072424770634
Malignant skin melanoma,0.2052119042500335,5.0,0.05,7.052119042500335
